火灾,destruction caused by fire
水灾,destruction caused by water
风灾,destruction caused by wind
三受,3 feelings
乐受,joyous feeling
苦受,painful feeling
不苦不乐受,neutral feeling
舍受,neutral feeling
三明,3 insights
宿住智证明,insight into the mortal conditions of self and others in previous lives
死生智证明,knowledge of vanishing and reappearing of beings
漏尽智证明,nirvāṇa insight
三法印,3 seals of buddhist doctrine
诸行无常,all products are impermanent
诸法无我,all phenomena are empty and selfless
涅盘寂静,nirvana is peace
三要,3 principal aspects of the path
修行,3 principal aspects of the path
出离,renunciation
菩提心,mind of enlightenment
正见,right view
三施,3 types of giving
财施,giving material help
法施,giving dharma teachings
无畏施,giving protection from fear
三相,3 modes of reasoning
宗法,property of the subject
随遍,subsequent pervasion
同品定有,subsequent pervasion
倒遍,counter pervasion
异品遍无,counter pervasion
三性,3 characteristics
遍计所执,imputed phenomena
依他起,dependent phenomena
圆成实,ultimate phenomena
三界九地,3 realms and 9 levels
欲界,desire realm
[身异想异],[beings with different bodies and different thoughts]
五趣杂居地,[beings with different bodies and different thoughts]
色界,form realm
离生喜乐,first concentration
初静虑,first concentration
定生喜乐,second concentration
第二静虑,second concentration
离喜妙乐,third concentration
第三静虑,third concentration
舍念清净,fourth concentration
第四静虑,fourth concentration
无色界,formless realm
空无边处,infinite space
识无边处,infinite consciousness
无所有处,nothingness
非想非非想,peak of cyclic existence
有顶,peak of cyclic existence
三毒,3 poisons
贪,desire
瞋,hatred; anger
痴,ignorance
三苦,3 sufferings
苦苦,suffering of pain
坏苦,suffering of change
行苦,pervasive suffering
三乘,3 vehicles
声闻乘,hearer's vehicle
独觉乘,solitary realizer's vehicle
菩萨乘,bodhisattva's vehicle
三师,3 teachers
戒和尚,preceptor
羯磨师,announcing-preceptor
教授师,instructor
三根,3 levels of intelligence
钝根,poor intellect
中根,moderate intellect
利根,sharp intellect
三时业,3 kinds of karma
顺现法受业,karma bearing fruit in this present life
顺次生受业,karma bearing fruit in the next life
顺后次受业,karma bearing fruit in the distant future
三清净地,3 pure stages
第八地,eighth stage
第九地,ninth stage
第十地,tenth stage
三智,3 kinds of knowledge
一切智,knowledge of bases
道相智,knowledge of paths
一切相智,omniscient mind
三量,3 awarenesses
圣教量,authoritative valid cognizer
三结,3 constant fetters
萨迦耶见,view of the transitory collection as real I and mine
戒禁取,conception of [bad] ethics and modes of conduct as supreme
疑,doubt
三无自性,3 identityless phenomena
相无自性性,identitylessness of characteristics
生无自性性,identitylessness of production
胜义无自性性,identitylessness of ultimate phenomena
三无为法,3 uncompounded phenomena
虚空无为,space
择灭无为,analytical cessation
非择灭无为,non-analytical cessation
三无漏根,3 uncontaminated sense powers
未知当知根,sense power of knowing all that is unknown
已知根,sense power of knowing all
具知根,sense power of that which has the quality of knowing all
三涅盘,3 nirvanas
无住涅盘,nirvana without abiding
三善根,3 root virtues
无贪善根,root of virtue devoid of desire
无瞋善根,root of virtue devoid of hatred
无痴善根,root of virtue devoid of ignorance
三善趣,3 happy migrators; 3 happy migrations
天,gods
人,humans
阿素洛,demigods
三圣,3 nobles
释迦牟尼佛,shākyamuni buddha
药师佛,bhaisajyaguru buddha
阿弥陀佛,amitābha buddha
西方,3 nobles
观世音菩萨,avalokiteshvara bodhisattva
大势至菩萨,mahāsthāmaprāpta bodhisattva
三圆满,3 excellent accomplishments
自事圆满,accomplishment of one's own goals
他事圆满,accomplishment of others'goals
方便圆满,accomplishment of the means for achieving both goals
三恶趣,3 bad migrators
三恶道,3 bad migrators
地狱,hell beings
饿鬼,hungry ghosts
傍生,animals
畜生,animals
三业,3 actions
善业,karma giving rise to happiness
恶业,karma giving rise to suffering
无记业,karma giving rise to indifferent feelings
身业,physical actions
语业,verbal actions
意业,mental actions
福业,virtuous karma
非福业,non-virtuous karma
不动业,unfluctuating karma
三业果,3 types of karmic effect
异熟果,fruitional effect
等流果,causally concordant effect
增上果,owned effect
三解脱门,3 doors of liberation
空解脱门,liberation through emptiness
无相解脱门,liberation through signlessness
无愿解脱门,liberation through wishlessness
三聚,3 heaps
三品,3 heaps
敬礼,heap of prostration
悔过,heap of confession
随喜,heap of rejoicing
回向,[dedication]
三聚净戒,3 types of morality
律仪戒,morality of abstention from misbehaviour
摄善法戒,morality of integrating virtues
饶益有情戒,morality of working for the welfare of other sentient beings
三际,3 times
前际,past time
后际,future time
中际,present time
三种化身,3 emanation bodies of a buddha
事业化身,artisan emanation
受生化身,miscellaneous emanation
最胜化身,supreme emanation
三种示导,3 kinds of miracle
神变示导,miracle of body
记心示导,miracle of mind
教诫示导,miracle of speech
三种正因,3 correct reasons
果正因,correct reason of effect
自性正因,correct reason of nature
不可得正因,correct reason of non-cognition
不觅正因,correct reason of non-cognition
三种似因,3 wrong reasons
不成因,unestablished reason
相违因,contradictory reason
不定因,uncertain reason
三种定,3 meditative stabilizations
健行定,meditative stabilization going like a hero
如幻定,meditative stabilization like an illusion
金刚喻定,meditative stabilization like a vajra
三种所知,3 objects of knowledge
现前,10manifest phenomena
隐晦,obscure phenomena
非常隐晦,extremely obscure phenomena
三种慈悲,3 types of compassion
众生缘慈,compassion merely observing sentient beings
法缘慈,compassion observing the doctrine
无缘慈,compassion observing the lack of true existence
三种萨埵,3 types of sattvas [beings]
誓句萨埵,commitment being
智慧萨埵,wisdom being
定萨埵,concentration being
三慧,3 types of wisdom
闻所成慧,wisdom acquired through hearing
思所成慧,wisdom acquired through contemplation
修所成慧,wisdom acquired through meditation
三学,3 trainings
增上戒学,training in higher discipline;
戒学,training in higher discipline;
增上心学,training in higher meditative stabilization
定学,training in higher meditative stabilization
增上慧学,training in higher wisdom
慧学,training in higher wisdom
三藏,3 scriptural collections
经藏,sets of discourses
律藏,sets of discipline
论藏,sets of manifest knowledge
三转法轮,3 turnings of the wheel of dharma
第一法轮,the first turning of the wheel of dharma
四谛法轮,the first turning of the wheel of dharma
第二法轮,the second turning of the wheel of dharma
无相法轮,the second turning of the wheel of dharma
第三法轮,the third turning of the wheel of dharma
分别法轮,the third turning of the wheel of dharma
三归依,3 refuges
归依佛,taking the buddha as refuge
归依法,taking the dharma as refuge
归依僧,taking the saṅgha as refuge
三宝,3 Jewels
佛宝,"buddha, the fully enlightened one"
法宝,"dharma, the teachings"
僧宝,"sangha, the holy community"
四大宗派,4 tenets
婆沙部,vaibhāṣika
说分别部,vaibhāṣika
经量部,sautrāntika
随教行经量部,sautrāntika-follower of scripture
随理行经量部,sautrāntika-follower of reasoning
唯识宗,mind only school
随教行唯识宗,cittamātrin-follower of scripture
随理行唯识宗,cittamātrin-follower of reasoning
中观宗,middle way school
中观宗自续派,mādhyamika svātantrika
中观宗应成派,mādhyamika prāsaṅgika;
四大洲,4 continents
东胜身洲,East Continent; 
南赡部洲,South Continent;
西牛货洲,West Continent;
北俱卢洲,North Continent;
四三摩地,4 meditative stabilizations
健行三摩地,meditative stabilization going as a hero
虚空库三摩地,meditative stabilization like a sky treasury
无垢三摩地,stainless meditative stabilization
狮子奋迅三摩地,meditative stabilization like a loftily looking lion
四不定,4 changeable mental factors
睡眠,sleep
恶作,regret
寻,investigation
伺,analysis
四生,4 types of birth
卵生,birth from an egg
胎生,birth from a womb
湿生,birth from heat and moisture
化生,miraculous birth
四加行位,4 levels of the path of preparation
四顺抉择分,？p15
四善根,[4 good roots]
暖,heat
顶,peak
忍,forbearance
世第一法,supreme mundane qualities
四正断,4 thorough abandonings
未生恶令不生,non-generation of afflictions not yet generated
已生恶令灭,abandoning of afflictions already generated
未生善令生,generation of pure phenomena not yet generated
已生善令增长,increasing of pure phenomena already generated
四有,4 states of birth
本有,live state
四向四果,4 enterers and 4 abiders
预流向,enterer into the fruit of a stream-winner
须陀洹向,enterer into the fruit of a stream-winner
预流果,stream-winner
须陀洹果,stream-winner
一来向,enterer into the fruit of a once-returner
斯陀含向,enterer into the fruit of a once-returner
一来果,abider in the fruit of a once-returner
斯陀含果,abider in the fruit of a once-returner
不还向,enterer into the fruit of a never returner
阿那含向,enterer into the fruit of a never returner
不还果,abider in the fruit of a never returner
阿那含果,abider in the fruit of a never returner
阿罗汉向,enterer into the fruit of a foe-destroyer
阿罗汉果,abider in the fruit of a foe-destroyer
四劫,4 intermediate aeons
四中劫,4 intermediate aeons
成劫,aeons of the formation
住劫,aeons of its persistence
坏劫,aeons of its dissolution
空劫,aeons of vacuity
四吠陀,4 vedas of brahmins
梨俱吠陀,science of poetry
夜柔吠陀,science of sacrifice
娑摩吠陀,science of aphorisms
阿闼婆吠陀,science of administration
四作意,4 mental engagements
力励运转作意,forcible engagement
有间缺运转作意,interrupted engagement
无间缺运转作意,uninterrupted engagement
无功用运转作意,spontaneous engagement
四空,4 emptinesses
有性空,emptiness of a thing
无性空,emptiness of non-things
本性空,emptiness of nature
他性空,emptiness of other-nature
四姓,4 castes of Hintu society
婆罗门,priest caste
净行,priest caste
剎帝力,warrior caste
王种,warrior caste
吠舍,merchant caste
商贾,merchant caste
戌陀罗,labourer caste
农猎人,labourer caste
四依,4 reliances
依义不依语,relying on meaning and not on the expression
依法不依人,relying on teachings and not on the person
依智不依识,relying on wisdom and not on an ordinary mind
依了义经不依不了义经,relying on definitive teachings and not on interpretive teachings
四取,4 compulsive acquisitions
欲取,compulsive acquisition of desire
见取,compulsive acquisition of view
我语取,compulsive acquisition of the view of self
四法印,4 seals of buddhist doctrine
诸漏皆苦,all contaminated things are miserable
四念住,4 mindful establishments
身念住,mindful establishments of body
受念住,mindful establishments of feelings
心念住,mindful establishments of thoughts
法念住,mindful establishments of phenomena
四法作沙门,4 precepts of a monk
他骂不应返骂,not to scold another although being scold
他瞋不应返瞋,not to become angry when incited to angry
他调不应返调,not to reveal another's faults when he does so
他打不应返打,not to hit another in return when being hit
四事业,4 types of virtuous activity
息灾,activity of peace
增益,activity of increase
怀爱,activity of power
降伏,activity of force
四食,4 types of food
段食,coarse food
触食,food of touch
意思食,food of mental thought
识食,food of consciousness
四神足,4 legs of manifestation;
欲神足,leg of manifestation of aspiration
勤神足,leg of manifestation of effort
心神足,leg of manifestation of thought
观神足,leg of manifestation of analysis
四威仪,4 activities
行,walking
住,standing
坐,sitting
卧,sleeping
四记问,4 methods of dealing with questions
一向记,direct answer
分别记,discriminating answer
反问记,questioning in return
默置记,silence
四现量,4 direct valid cognizers
根现量,sense direct valid cognizer
意现量,mental direct valid cognizer
自证现量,self-knowing direct valid cognizer
瑜伽现量,yogic direct valid cognizer
四密续,4 classes of tantra
作续,action tantra
行续,performance tantra
瑜伽续,yoga tantra
无上瑜伽续,highest yoga tantra
四众,4 types of monastic community
苾刍,monk
比丘,monk
苾刍尼,nun
比丘尼,nun
邬波索迦,layman
"优婆塞,近事男",layman
邬波斯迦,laywoman
"优婆夷,近事女",laywoman
四无色定,4 formless meditative absorptions
四无色等至,4 formless meditative absorptions
非想非非想处,meditative absorption of neither-discrimination-nor-non-discrimination [peak of cyclic existence]
四无所畏,4 fearlessnesses
正等觉无畏,fearlessness with respect to asserting that I am completely and perfectly enlightened with respect to all phenomena
漏永尽无畏,fearlessness with respect to teaching that the afflictive obstructions and obstructions to omniscience are to be ceased
说障法无畏,fearlessness with respect to teaching the paths of deliverance
说出道无畏,fearlessness with respect to teaching that the obstructions are to be ceased
四无为法,4 uncompounded phenomena
真如,suchness
四无量,4 immeasurables
慈无量,immeasurable love
悲无量,immeasurable compassion
喜无量,immeasurable joy
舍无量,immeasurable equanimity
四喜,4 joys
初喜,joy
胜喜,great joy
极喜,exalted joy
俱生喜,innate joy
四圣谛,4 noble truths
苦圣谛,true sufferings
集圣谛,true origins of suffering
灭圣谛,true cessations of suffering
道圣谛,true paths out of suffering
四业,4 actions
俱舍,4 actions
黑黑异熟业,black result due to black actions
白白异熟业,white result due to white actions
黑白黑白异熟业,black-white result due to black-white actions
非黑非白无异熟业能尽诸业,lacking result and destroying the actions due to non-black and non-white actions
四种分别,4 conceptions
所取分别,conceptions of grasping at objects
杂染所取分别,grasping at deluded phenomena
清净所取分别,grasping at purified phenomena
能取分别,conceptions of grasping at the subject
实有能取分别,grasping at substantial phenomena
假有能取分别,grasping at imputed phenomena
四种反省,4 thought transformations
暇满难得,realizing the preciousness of human birth
死亡无常,realizing the impermanence of life
轮回痛苦,realizing the faults of cyclic existence
业果决定,"realizing that pleasure andsuffering result from goodand bad actions,respectively"
四种妙陀罗尼门,4 doors of retention
忍陀罗尼门,retention of patience
咒陀罗尼门,retention of secret speech
词陀罗尼门,formula for retaining words
法陀罗尼,formula for retaining words
义陀罗尼门,formula for retaining meaning
四种定,4 meditative stabilizations
加行道,4 meditative stabilizations
明得,meditative stabilization of achieving perception of emptiness
明增,meditative stabilization of the increase of the perception of emptiness
入真义一分,meditative stabilization which understands suchness one-sidedly
印顺定,meditative stabilization which understands suchness one-sidedly
无间,uninterrupted meditative stabilization
四种所缘,4 objects of calm abiding meditation
遍满所缘,pervasive objects
有分别影相所缘,analytical image
无分别影相所缘,non-analytical image
事边际所缘,limits of phenomena
所作成就所缘,thorough achievement of the purpose
净行所缘,object for purifying behaviour
多贪行者,[desire]
缘不净,[ugliness]
多瞋行者,[hatred]
缘修慈,[love]
多痴行者,[obscuration]
缘众缘性诸；缘起,[dependent-arising]
憍慢行者,[pride]
缘界差别,[division of constituents]
寻思行者,[discursiveness]
缘入出息念,[inhalation and exhalation of the breath]
善巧所缘,skilful objects
蕴善巧,aggregates
界善巧,constituents
处善巧,sources
缘起善巧,dependent-arising
处非处善巧,appropriate and inappropriate
净惑所缘,objects for purifying afflictions
四种灌顶,4 initiations
瓶灌,vase initiation
密灌,secret initiation
智慧灌顶,wisdom initiation
名词灌顶,word initiation
四德,4 qualities
涅盘,4 qualities
乐,joy; bliss
我,personality
净,purity
四缘,4 conditions
因缘,causal condition
等无间缘,immediate condition
所缘缘,objective condition
增上缘,fundamental condition
四静虑,4 concentrations
喜,joy
心一境性,mental one-pointedness
内等净,joy
舍,mindfulness
念,introspection
正知,bliss
舍清净,thoroughly pure
念清净,mindfulness
四边,4 extremes
自生,production from self
他生,production from others
共生,production from both
无因生,production without causes
四颠倒,4 wrong thoughts
四魔,4 devils
蕴魔,evil of aggregates
烦恼魔,evil of afflictions
死魔,evil of death
天子魔,evil of the son of a god
四摄事,4 qualities making for amicable association
布施摄事,giving
爱语摄事,affectionate speech
利行摄事,conduct profitable to others
同事摄事,cooperation with others to lead them into the truth
五力,5 forces
信力,force of faith
精进力,force of enthusiastic perseverance
念力,force of mindfulness
定力,force of concentration
慧力,force of wisdom
五支作法,5-membered proof;
合,application
结,summary; 
五方佛,5 buddha families
毗卢遮那佛,vairocana
大日如来,vairocana
不动佛,akshobhya
宝生佛,ratnasambhava
无量光佛,amitābha
不空成就佛,amoghasiddhi
五次第,5 stages of mantra vehicle
密咒,5 stages of mantra vehicle
语远离,isolation of speech
心远离,isolation of mind
幻身,illusory body
光明,clear light
双运,unification
五戒,5 ethics; 
离杀生,not killing
不杀生,not killing
离不与取,not stealing
不偷盗,not stealing
离欲邪行,not indulging in sexual misconduct
不邪淫,not indulging in sexual misconduct
离虚诳语,not lying
不妄语,not lying
不饮酒,not taking intoxicating drinks
五位,5 periods in womb
胎中,5 periods in womb
羯剌蓝位,viscous foetus
頞部昙位,oval-shaped foetus
闭尸位,hard fleshy foetus
键南位,soft fleshy foetus
钵罗奢佉位,225 protuberances
五决定,5 certainties of Sambhogakaya
报身佛,5 certainties of Sambhogakaya
处决定,definite abode
身决定,definite body
时决定,definite time
法决定,definite doctrine
眷属决定,definite retinue
五妙欲,5 qualities of desires
五种功德,5 qualities of desires
色,visible form [as the quality of fire]
声,sound [as the quality of space]
香,odor [as the quality of earth]
味,taste [as the quality of water]
触,tangible object [as the quality of wind]
五别境,5 determining mental factors
欲,aspiration
胜解,belief
三摩地,stabilization
定,stabilization
慧,knowledge
五明,5 sciences
声明,linguistics
工业明,arts
工巧明,arts
医方明,medicine
内明,inner science
五果,5 effects
士用果,effect caused by persons
离系果,cessational effect
五法,5 phenomena
唯识,5 phenomena
名,name
相,signs
分别,conceptualization
正智,non-conceptual wisdom
如如,reality
五法蕴,5 uncontaminated aggregates
无漏,5 uncontaminated aggregates
戒蕴,moral discipline
定蕴,concentration
慧蕴,wisdom
解脱蕴,thorough liberation
解脱智见蕴,that which sees the wisdom of thorough liberation
五苾刍,5 good disciples
五比丘,5 good disciples
阿若憍陈如,ajnyātakauṇḍinya
十力迦叶,dasabala-kāsyapa [vāṣpas]
婆沙波,dasabala-kāsyapa [vāṣpas]
跋提,bhadrika
摩诃男,mahānāmas
大名,mahānāmas
阿说示,ashvajit
马胜,ashvajit
五神通,5 extraordinary knowledges; 
神境智证通,knowledge of miracles
天眼智证通,knowledge of the divine eye
天耳智证通,knowledge of the divine ear
他心智证通,knowledge of others' minds
宿住随念智证通,memory of former lives
五根,5 powers
信根,power of faith
精进根,power of effort
念根,power of mindfulness
定根,power of meditative stabilization
慧根,power of wisdom
五根本气,5 principal winds
持命气,life supporting wind
下行气,downward moving wind
上行气,upward moving wind
平住气,equally abiding wind
遍行气,pervasive wind
五眼,5 eyes
肉眼,fleshy eye
天眼,divine eye
慧眼,wisdom eye
法眼,24dharma eye
佛眼,buddha's eye
五道,5 paths
位,5 paths
资粮道,path of accumulation
见道,path of seeing
修道,path of meditation
究竟道,path of no more learning
无学道,path of no more learning
五过失,5 faults
懈怠,laziness
忘圣言,forgetting the advice
惛沉掉举,laxity and excitement
不作行,non-application
作行,[over]application
五遍行,5 omnipresent mental factors
受,feeling
想,discrimination
思,intention
作意,mental engagement
五停心观,5 meditations; 5 objects for purifying behaviour
五种净行所缘,5 meditations; 5 objects for purifying behaviour
不净观,ugliness
白骨观,ugliness
慈悲观,love
缘起观,dependent-arising
界分别观,division of constituents
持息念,inhalation and exhalation of the breath
数息观,inhalation and exhalation of the breath
五净居,5 pure celestrial places
无烦天,not great
无热天,without pain
善现天,excellent appearance
善见天,excellent perception
色究竟天,not low
五无间,5 boundless actions
杀父,killing one's father
杀母,killing one's mother
杀阿罗汉,killing an Arhat
破和合僧,causing a schism within the spiritual community
出佛身血,drawing blood from the body of a buddha with evil intention
五顺上分结,5 higher bonds of desire still existing in the upper realms
色贪,desire of form realm
无色贪,desire of formless realm
无明,ignorance
慢,pride
掉举,excitement
五顺下分结,5 bonds in the lower desire-realms
欲贪,desire
身见,view of the transitory collection as real I and mine
五补特伽罗,5 persons on the Hinayana paths
独觉果,solitary realizer
五种粗细心,5 phenomena on the level of the aggregate of consciousness
八十分别心,eithty indicative minds
白显之心,mind of radiant white appearance
红增之心,mind of radiant red increase
黑得之心,mind of radiant black near attainment
死光明心,mind of the clear light of death
五种性,5 families
声闻乘种性,hearer family
独觉乘种性,solitary family
如来乘种性,tathāgata family
不定种性,indefinite family
决定种性,definite family
五盖,5 obstructions
贪欲盖,aspiration to attributes of the desire realm
瞋恚盖,harmfulness
惛沉睡眠盖,lethargy and sleep
掉举恶作盖,excitement and contrition
疑盖,doubt
五篇罪,5 downfalls
波罗夷,defeats
僧残,remainders
舍堕,propelling downfalls
提舍尼,individual confessions
向彼悔,individual confessions
突吉罗,faults
五趣,5 migrators
天趣,gods
人趣,human beings
地狱趣,hell beings
饿鬼趣,hungry ghosts
傍生趣,animals
畜生趣,animals
五浊,5 dregs
见浊,degenerated views
烦恼浊,degenerated delusions
众生浊,degenerated persons
命浊,degenerated lifespan
劫浊,degenerated time
五蕴,5 aggregates
色蕴,form
受蕴,feeling
想蕴,discrimination
行蕴,compositional factors
识蕴,consciousness
六力,6 forces
听闻力,hearing
思惟力,thinking
忆念力,mindfulness
正知力,introspection
串习力,familiarity
六大烦恼地法,6 bases of big afflictions
放逸,non-conscientiousness
不信,non-faith
惛沉,lethargy
六支,6 limbs of the completion stage practice according to the Kalachakra tantra
时轮,6 limbs of the completion stage practice according to the Kalachakra tantra
别摄,collection
静虑,absorption
中善,wind control
认持,retention
随念,mindfulness
六句义,6 principles of the particularists
胜论派,6 principles of the particularists
实句义,substance
德句义,quality
业句义,action
同句义,generality
异句义,particularity
和合句义,composition
六因,6 types of causes
能作因,acting cause
俱有因,simultaneously arising cause
异熟因,ripening cause
相应因,concomitant cause
遍行因,omnipresent cause
同类因,equal-state cause
六合释,6 methods of compounding
不尽释,adverbial compounds
邻近释,adverbial compounds
彼士释,dependent determinate compounds
依士释,dependent determinate compounds
分合释,copulative or aggregative compounds
相违释,copulative or aggregative compounds
多谷释,relative or attributive compounds
多财释,relative or attributive compounds
持业释,descriptive determinate compounds
同依释,descriptive determinate compounds
双分释,numeral determinate compounds
带数释,numeral determinate compounds
六受身,6 aggregates of feeling
眼触为缘所生诸受,feeling produced through visual contact
耳触为缘所生诸受,feeling produced through olfactory contact
鼻触为缘所生诸受,feeling produced through aural contact
舌触为缘所生诸受,feeling produced through gustatory contact
身触为缘所生诸受,feeling produced through physical contact
意触为缘所生诸受,feeling produced through mental contact
六味,6 types of taste
苦味,bitter
酸味,sour
甘味,sweet
辛味,hot
咸味,salty
淡味,astringent
六法,6 doctrines of Naropa
那洛,6 doctrines of Naropa
拙火,yoga of psychic heat
迁识,yoga of consciousness transference
梦观,yoga of dreams
六波罗蜜多,6 perfections
布施波罗蜜多,giving
净戒波罗蜜多,ethics
安忍波罗蜜多,29patience
精进波罗蜜多,effort
静虑波罗蜜多,concentration
般若波罗蜜多,wisdom
六界,6 elements
六大,6 elements
地界,earth
水界,water
火界,fire
风界,wind
空界,space
识界,consciousness
六城,6 cities of central India
中印,6 cities of central India
王舍城,rājagṛha
毗舍离城,vaishāli
广严城,vaishāli
室罗筏城,shrāvastī
舍卫城,shrāvastī
瞻波城,champaka
娑枳多城,sāketa
波罗奈城,varaṇasi
六派,6 ancient Hindu schools of the non-buddhists
外道,6 ancient Hindu schools of the non-buddhists
顺世派,lokāyatas
路伽耶,lokāyatas
广主派,bārhaspatya
迦尔瓦卡派,hedonist
耆那派,follower of jina
尼干子,nirgrantha
裸形派,digambara
白衣派,shvetāmbara
数论派,saṃkhya
僧佉派,saṃkhya
伽毗罗派,follower of kapila
弥曼差派,analyser
伺察派,analyser
卫世师,particularist
食屑仙派,follower of kaṇāda
正理派,logician
尼夜耶,logician
足目派,follower of akṣipāda
其他外道宗派,other schools
吠檀多派,vedantins
瑜伽派,yogacara
遍入派,vaishṇava
毗纽天,vaishṇava
自在天派,ishvara
涂灰,ishvara
邪命论,ājīvaka
不可知论,agnosticism
梵天派,brāhmaṇas
六思身,6 aggregates of intention
眼触所生思,intention produced through visual contact
耳触所生思,intention produced through aural contact
鼻触所生思,intention produced through olfactory contact
舌触所生思,intention produced through gustatory contact
身触所生思,intention produced through physical contact
意触所生思,intention produced through mental contact
六神通,6 extraordinary knowledges
漏尽智证通,knowledge of the extinction of contamination
六师,6 teachers of the non-buddhists
阿耆多翅舍钦婆罗,ajita-keshakambala [of carvāka]
尼干陀若提子,nirgrantha jnyāti-putra [of jaina]
富楼那迦叶,pῡraṇa kāshyapa [of ajīvaka]
末伽黎拘舍梨子,maskārī goshaliputra [of ajīvaka]
迦鸠驮迦旃延,kakuda kātyana [of ajīvaka]
散若夷毘罗胝子,sanyjaya vairaṭiputra [of ajñāna]
六根,6 senses
眼根,eye sense power
耳根,ear sense power
鼻根,nose sense power
舌根,tongue sense power
身根,body sense power
意根,mental sense power
六根本烦恼,6 root afflictions
见,afflicted view
不正见,afflicted view
六欲天,6 classes of the gods in the desire realm
四大王众天,four great kings
三十三天,gods of the Thirty-three
夜摩天,gods of non-combat
睹史多天,gods of Tushita
乐变化天,gods enjoying emanations
他化自在天,gods controlling other's emanations
六庄严,6 ornaments
龙树,nāgarjῡna
提婆,āryadeva
圣天,āryadeva
无着,asanga
世亲,vasubandhu
陈那,dignāga
法称,dharmakīrtī
六无为法,6 uncompounded phenomena
百法,6 uncompounded phenomena
不动灭无为,state of being unmoved by pleasure or pain
想受灭无为,state without discrimination and feeling
真如无为,suchness
